life_expectancy,adult_mortality,infant_deaths,percentage_expenditure,measles,bmi,under-five_deaths,polio,diphtheria,hiv/aids,thinness__1-19_years,thinness_5-9_years,income_composition_of_resources,schooling
48.7,371.0,84,249.9101958,265,19.3,133,65.0,69.0,2.6,9.5,9.4,0.468,8.1
48.2,375.0,87,184.8213446,1014,18.8,138,75.0,73.0,2.6,9.6,9.6,0.454,7.7
47.7,381.0,90,25.08688824,765,18.2,143,36.0,34.0,2.5,9.8,9.7,0.439,7.2
47.4,382.0,92,98.19145117,258,17.7,148,39.0,38.0,2.6,1.0,9.9,0.426,6.8
47.1,386.0,94,8.8667775,29,17.2,152,4.0,4.0,2.5,1.2,1.1,0.415,6.4
46.8,388.0,95,35.93349121,1196,16.8,155,4.0,4.0,2.4,1.4,1.3,0.406,5.9
46.5,391.0,96,24.037942,11945,16.3,157,37.0,41.0,2.3,1.5,1.5,0.401,5.5
45.7,44.0,97,30.35993647,9046,15.8,159,41.0,38.0,2.1,1.7,1.7,0.391,5.1
45.3,48.0,97,15.88149254,2219,15.4,160,3.0,28.0,2.0,1.9,1.9,0.382,4.6
76.4,13.0,0,0.0,0,47.7,0,86.0,99.0,0.2,3.3,3.3,0.784,13.9
76.2,131.0,0,2422.999774,0,47.0,0,96.0,99.0,0.2,3.3,3.3,0.782,13.9
76.1,133.0,0,1991.430372,0,46.4,0,98.0,99.0,0.2,3.3,3.3,0.7809999999999999,13.9
75.9,134.0,0,2156.229842,0,45.7,0,97.0,98.0,0.2,3.3,3.3,0.778,13.8
75.7,136.0,0,1810.875316,0,45.1,0,99.0,99.0,0.1,3.3,3.3,0.782,14.1
75.6,138.0,0,1983.956937,0,44.4,0,99.0,98.0,0.1,3.3,3.3,0.7829999999999999,14.1
75.4,14.0,0,149.3587355,0,43.8,0,98.0,99.0,0.1,3.4,3.3,0.7879999999999999,14.2
75.2,142.0,0,180.7762695,0,43.2,0,99.0,99.0,0.1,3.4,3.3,0.7859999999999999,14.4
75.0,144.0,0,257.96653080000004,0,42.6,0,98.0,99.0,0.1,3.4,3.3,0.7809999999999999,14.5
74.8,145.0,0,216.3146941,0,42.0,0,99.0,99.0,0.1,3.4,3.4,0.773,14.7
74.6,147.0,0,1455.608186,0,41.4,0,98.0,99.0,0.1,3.5,3.4,0.0,0.0
74.4,149.0,0,22.86295206,0,4.8,0,97.0,97.0,0.1,3.5,3.4,0.0,0.0
74.2,151.0,0,1158.065259,0,4.1,0,99.0,99.0,0.1,3.5,3.5,0.0,0.0
74.0,153.0,0,927.4075855,0,39.5,0,93.0,98.0,0.1,3.6,3.5,0.0,0.0
73.8,154.0,0,163.7676978,0,38.9,0,99.0,97.0,0.1,3.6,3.5,0.0,0.0
73.6,156.0,0,1127.74347,0,38.2,0,96.0,95.0,0.1,3.7,3.6,0.0,0.0
76.3,116.0,8,0.0,0,62.8,9,93.0,94.0,0.1,1.0,0.9,0.826,17.3
76.2,118.0,8,847.3717462999998,1,62.2,9,92.0,94.0,0.1,1.0,0.9,0.825,17.3
76.0,119.0,8,1001.796332,0,61.6,10,99.0,94.0,0.1,1.0,0.9,0.823,17.3
75.9,12.0,9,1133.558003,2,61.0,10,99.0,91.0,0.1,1.0,0.9,0.8220000000000001,17.2
75.7,12.0,9,1504.329462,3,6.4,10,93.0,91.0,0.1,1.0,0.9,0.816,17.1
75.5,121.0,10,187.610955,17,59.8,11,95.0,94.0,0.1,1.0,0.9,0.802,16.8
75.6,126.0,10,1398.042623,3,59.2,11,97.0,94.0,0.1,1.0,0.9,0.794,16.5
75.4,126.0,10,1413.7354300000004,0,58.6,11,94.0,93.0,0.1,1.0,0.9,0.792,16.3
74.8,129.0,10,1105.659031,0,58.0,12,92.0,91.0,0.1,1.1,0.9,0.7879999999999999,16.3
75.2,127.0,11,961.1774676,0,57.5,12,92.0,91.0,0.1,1.1,0.9,0.782,16.1
74.9,127.0,11,96.16653429,0,56.9,12,95.0,98.0,0.1,1.1,1.0,0.78,16.3
74.7,13.0,11,719.3663797,0,56.3,12,91.0,98.0,0.1,1.1,1.0,0.775,16.3
74.1,137.0,11,57.58467352,0,55.7,13,95.0,96.0,0.1,1.2,1.0,0.77,16.4
74.1,138.0,12,470.1869145,0,55.1,13,94.0,93.0,0.1,1.2,1.0,0.7759999999999999,16.3
74.0,138.0,12,123.01286709999998,0,54.6,13,85.0,83.0,0.1,1.2,1.1,0.7709999999999999,15.6
74.1,137.0,12,1349.025282,6,54.0,14,88.0,83.0,0.1,1.2,1.1,0.764,15.0
74.8,118.0,1,0.0,33,54.9,1,96.0,94.0,0.1,2.1,2.2,0.741,12.7
74.6,12.0,1,295.6087143000001,13,54.1,1,95.0,93.0,0.1,2.1,2.1,0.7390000000000001,12.7
74.4,123.0,1,279.4290812,10,53.3,1,96.0,95.0,0.1,2.1,2.1,0.736,12.7
74.4,121.0,1,274.1526986,0,52.6,1,96.0,95.0,0.1,2.0,2.1,0.732,12.7
73.9,128.0,1,260.9963826,0,51.9,1,96.0,95.0,0.1,2.0,2.1,0.7290000000000001,12.7
73.5,132.0,1,224.3212014,2,51.2,1,96.0,94.0,0.1,2.0,2.1,0.72,12.3
73.3,137.0,1,201.1855461,0,5.7,1,94.0,93.0,0.1,2.0,2.1,0.725,11.9
73.2,14.0,1,2.8888979,0,5.1,1,91.0,89.0,0.1,2.0,2.1,0.721,12.3
73.5,132.0,1,44.57219966,1,49.7,1,9.0,88.0,0.1,2.0,2.1,0.7070000000000001,11.7
72.9,141.0,1,244.5352767,137,49.2,1,87.0,87.0,0.1,2.0,2.1,0.6920000000000001,11.2
73.0,137.0,1,20.21822828,2281,48.8,1,92.0,9.0,0.1,2.0,2.1,0.679,10.9
73.0,132.0,1,97.74087744,1783,48.4,1,93.0,91.0,0.1,2.0,2.1,0.6679999999999999,10.9
72.7,134.0,1,7.341493148,4,48.1,1,96.0,94.0,0.1,2.0,2.1,0.657,10.8
72.6,134.0,1,57.17810403,40,47.8,1,96.0,94.0,0.1,2.1,2.1,0.645,10.8
72.6,141.0,1,53.19373012,69,47.4,1,97.0,94.0,0.1,2.1,2.1,0.644,11.1
72.0,142.0,1,32.75626853,15,47.1,1,96.0,93.0,0.1,2.1,2.2,0.639,11.2
82.8,59.0,1,0.0,74,66.6,1,93.0,93.0,0.1,0.6,0.6,0.937,20.4
82.7,6.0,1,10769.36305,340,66.1,1,92.0,92.0,0.1,0.6,0.6,0.936,20.4
82.5,61.0,1,11734.85381,158,65.5,1,91.0,91.0,0.1,0.6,0.6,0.933,20.3
82.3,61.0,1,11714.99858,199,65.0,1,92.0,92.0,0.1,0.6,0.6,0.93,20.1
82.0,63.0,1,10986.26527,190,64.4,1,92.0,92.0,0.1,0.6,0.6,0.927,19.8
81.9,64.0,1,8875.786493000001,70,63.9,1,92.0,92.0,0.1,0.7,0.6,0.927,19.5
81.7,66.0,1,7172.275229000002,104,63.4,1,92.0,92.0,0.1,0.7,0.6,0.925,19.1
81.3,66.0,1,8547.292356999998,65,62.9,1,92.0,92.0,0.1,0.7,0.6,0.921,19.1
81.3,66.0,1,872.5986092,11,62.5,2,92.0,92.0,0.1,0.7,0.6,0.918,19.0
81.2,66.0,1,6187.062017,0,62.0,2,92.0,92.0,0.1,0.7,0.6,0.915,20.3
81.0,67.0,1,579.1331637,10,61.5,2,92.0,92.0,0.1,0.7,0.6,0.91,20.3
86.0,69.0,1,588.568371,70,6.9,1,92.0,92.0,0.1,0.7,0.6,0.908,20.7
83.0,71.0,1,3829.550928,91,6.3,1,92.0,93.0,0.1,0.7,0.7,0.905,20.6
79.9,73.0,1,46.3871819,32,59.6,2,92.0,92.0,0.1,0.7,0.7,0.902,20.1
79.9,75.0,1,3064.301144,141,59.0,2,91.0,92.0,0.1,0.7,0.7,0.899,20.5
79.5,78.0,1,347.18736,108,58.2,2,9.0,9.0,0.1,0.7,0.7,0.897,20.4
81.5,65.0,0,0.0,309,57.6,0,93.0,93.0,0.1,1.9,2.1,0.892,15.9
81.4,66.0,0,8350.193523,117,57.1,0,98.0,98.0,0.1,1.8,2.0,0.892,15.9
81.1,68.0,0,90.58501176,0,56.6,0,95.0,95.0,0.1,1.8,2.0,0.887,15.7
88.0,7.0,0,7878.372354999998,36,56.1,0,92.0,92.0,0.1,1.8,2.0,0.884,15.7
88.0,73.0,0,8272.306756999997,68,55.7,0,89.0,89.0,0.1,1.7,2.0,0.88,15.7
84.0,75.0,0,7423.228773999998,52,55.2,0,86.0,86.0,0.1,1.7,1.9,0.872,15.4
82.0,77.0,0,8053.557637999998,49,54.7,0,83.0,83.0,0.1,1.7,1.9,0.87,15.3
84.0,76.0,0,8329.731655,448,54.2,0,83.0,83.0,0.1,1.7,1.9,0.8640000000000001,15.1
81.0,8.0,0,7453.8644,20,53.7,0,85.0,85.0,0.1,1.7,1.9,0.86,15.2
79.8,81.0,0,69.92899358,23,53.2,0,83.0,83.0,0.1,1.7,1.9,0.8540000000000001,15.0
79.4,85.0,0,5992.588029,9,52.7,0,86.0,86.0,0.1,1.7,1.9,0.848,14.9
79.3,86.0,0,5316.877456,15,52.2,0,83.0,83.0,0.1,1.7,1.9,0.841,14.7
78.8,88.0,0,504.4308735,90,51.7,0,84.0,84.0,0.1,1.7,1.9,0.8370000000000001,14.7
78.7,9.0,0,3979.057728,0,51.2,0,82.0,83.0,0.1,1.7,1.9,0.847,16.1
78.6,92.0,0,3582.848308,0,5.6,0,83.0,84.0,0.1,1.7,1.9,0.8370000000000001,15.5
78.1,96.0,0,3557.455507,0,5.1,0,71.0,81.0,0.1,1.7,1.9,0.833,15.4
72.7,118.0,5,0.0,0,52.5,6,98.0,96.0,0.1,2.8,2.9,0.758,12.7
72.5,119.0,5,306.1824313,0,51.5,6,97.0,94.0,0.1,2.8,2.9,0.752,12.2
72.2,121.0,5,275.6514934,164,5.6,6,96.0,93.0,0.1,2.8,2.8,0.745,11.9
71.9,123.0,5,285.6103912,0,49.7,6,92.0,89.0,0.1,2.8,2.8,0.742,11.8
71.6,125.0,5,263.14269900000005,0,48.8,6,91.0,87.0,0.1,2.8,2.9,0.741,11.7
71.1,13.0,5,246.5686008,0,48.0,6,85.0,81.0,0.1,2.8,2.9,0.737,11.7
78.0,132.0,6,22.48638351,0,47.3,6,84.0,81.0,0.1,2.8,2.9,0.728,11.6
73.0,141.0,6,206.2616134,5,46.6,6,85.0,81.0,0.1,2.8,2.9,0.7190000000000001,11.6
73.0,14.0,6,176.01071059999995,0,45.9,7,81.0,79.0,0.1,2.8,2.9,0.708,11.6
69.2,154.0,6,105.6337264,222,45.3,7,8.0,78.0,0.1,2.9,2.9,0.682,10.7
68.4,162.0,6,81.28883085,1238,44.7,7,79.0,75.0,0.1,2.9,3.0,0.675,11.2
68.4,154.0,6,8.59680496,827,44.2,8,78.0,77.0,0.1,3.0,3.0,0.6679999999999999,11.0
67.8,154.0,7,42.41491183,1978,43.6,8,79.0,77.0,0.1,3.0,3.0,0.659,10.8
67.8,146.0,7,39.33253687,4353,43.1,9,8.0,76.0,0.1,3.1,3.1,0.6509999999999999,10.6
67.5,151.0,8,4.104190077,574,42.6,10,77.0,77.0,0.1,3.1,3.1,0.642,10.4
66.6,16.0,9,35.09462644,210,42.1,11,75.0,76.0,0.1,3.2,3.1,0.636,10.1
76.1,147.0,0,0.0,0,64.5,0,95.0,95.0,0.1,2.5,2.5,0.79,12.6
75.4,16.0,0,0.0,0,63.8,0,96.0,96.0,0.1,2.5,2.5,0.789,12.6
74.8,172.0,0,0.0,0,63.2,0,97.0,97.0,0.1,2.5,2.5,0.79,12.6
74.9,167.0,0,0.0,0,62.6,0,99.0,98.0,0.2,2.5,2.5,0.789,12.6
75.0,162.0,0,0.0,0,62.0,0,97.0,98.0,0.1,2.5,2.5,0.7879999999999999,12.6
75.0,161.0,0,0.0,0,61.3,0,97.0,99.0,0.2,2.5,2.5,0.7879999999999999,12.6
74.6,168.0,0,0.0,0,6.7,0,97.0,96.0,0.1,2.5,2.5,0.7909999999999999,12.6
74.5,167.0,0,0.0,0,6.1,0,93.0,93.0,0.1,2.5,2.5,0.7909999999999999,12.6
74.4,167.0,0,0.0,0,59.4,0,95.0,95.0,0.1,2.5,2.5,0.79,12.5
74.2,171.0,0,0.0,0,58.7,0,94.0,95.0,0.1,2.5,2.5,0.7879999999999999,12.4
74.1,172.0,0,0.0,0,58.1,0,93.0,93.0,0.1,2.6,2.5,0.7859999999999999,12.4
73.8,174.0,0,0.0,0,57.4,0,92.0,93.0,0.1,2.6,2.5,0.784,12.3
73.2,189.0,0,0.0,0,56.7,0,93.0,92.0,0.1,2.6,2.5,0.7829999999999999,12.2
73.1,19.0,0,0.0,0,56.0,0,93.0,94.0,0.1,2.6,2.6,0.7809999999999999,12.1
72.9,189.0,0,0.0,0,55.2,0,98.0,99.0,0.2,2.7,2.6,0.779,12.1
72.6,192.0,0,0.0,0,54.4,0,91.0,99.0,0.1,2.7,2.6,0.0,12.0
76.9,69.0,0,0.0,0,63.6,0,98.0,98.0,0.1,6.2,6.1,0.823,14.5
76.8,7.0,0,367.2556742,46,62.9,0,98.0,98.0,0.1,6.1,6.0,0.82,14.5
76.7,7.0,0,3.968695982,0,62.2,0,99.0,99.0,0.1,6.1,6.0,0.815,14.5
76.5,71.0,0,2211.215778,0,61.5,0,99.0,99.0,0.1,6.1,6.0,0.812,14.5
76.1,76.0,0,197.7734681,0,6.8,0,99.0,99.0,0.1,6.1,6.0,0.812,14.4
76.1,73.0,0,266.7696122,0,6.1,0,99.0,99.0,0.1,6.0,5.9,0.81,14.4
76.0,74.0,0,332.9347646,3,59.3,0,97.0,98.0,0.1,6.0,5.9,0.8140000000000001,14.4
75.8,76.0,0,231.5478912,2,58.5,0,97.0,97.0,0.1,6.0,5.9,0.815,14.4
75.6,77.0,0,278.3602806,7,57.6,0,97.0,97.0,0.1,6.1,5.9,0.813,14.4
75.5,79.0,0,170.7374027,3,56.8,0,98.0,98.0,0.1,6.1,5.9,0.81,14.2
75.3,81.0,0,1553.468944,4,56.1,0,98.0,98.0,0.1,6.1,5.9,0.8059999999999999,14.0
75.2,83.0,0,1380.228095,11,55.6,0,98.0,98.0,0.1,6.1,5.9,0.8029999999999999,13.9
75.0,85.0,0,1214.558167,12,55.2,0,97.0,97.0,0.1,6.1,5.9,0.7979999999999999,13.7
74.9,87.0,0,106.43033359999998,8,55.0,0,98.0,98.0,0.1,6.2,5.9,0.7959999999999999,13.5
74.7,9.0,0,1150.418063,5,54.8,0,99.0,99.0,0.1,6.2,6.0,0.794,13.3
74.5,92.0,0,167.7270642,6,54.5,0,97.0,97.0,0.1,6.2,6.0,0.7859999999999999,13.2
71.8,129.0,92,0.0,240,18.3,113,97.0,97.0,0.1,17.9,18.3,0.575,10.2
71.4,132.0,98,10.44640334,289,17.7,121,97.0,97.0,0.1,18.1,18.6,0.57,10.0
71.0,135.0,104,52.82986467,237,17.0,130,96.0,96.0,0.1,18.3,18.8,0.565,10.0
77.0,137.0,111,59.2589257,1986,16.4,139,94.0,94.0,0.1,18.5,19.0,0.557,9.9
73.0,14.0,118,62.34988484,5625,15.8,150,96.0,96.0,0.1,18.7,19.2,0.545,9.4
69.9,142.0,126,62.65945432,788,15.2,161,94.0,94.0,0.1,18.9,19.4,0.535,8.9
69.5,144.0,135,53.26400378,718,14.6,173,97.0,97.0,0.1,19.1,19.7,0.523,8.4
69.1,147.0,144,42.48865034,2660,14.0,186,96.0,96.0,0.1,19.3,19.9,0.52,8.6
68.6,151.0,154,46.36536703,2924,13.5,201,96.0,94.0,0.1,19.5,2.1,0.513,8.6
68.2,152.0,164,42.3304549,6192,13.0,215,95.0,94.0,0.1,19.7,2.3,0.506,8.4
67.8,155.0,174,38.05462002,25934,12.5,231,94.0,93.0,0.1,19.9,2.5,0.499,8.2
67.3,158.0,185,4.11469667,9743,12.0,247,88.0,99.0,0.1,2.1,2.7,0.491,8.1
66.8,161.0,196,35.48458957,4067,11.6,264,9.0,87.0,0.1,2.3,2.9,0.484,7.9
66.3,164.0,207,0.397228764,3484,11.2,280,83.0,83.0,0.1,2.5,21.1,0.476,7.7
65.8,168.0,219,3.395069781,4414,1.8,298,85.0,85.0,0.1,2.7,21.3,0.468,7.5
65.3,173.0,231,3.69633051,5098,1.4,316,83.0,82.0,0.1,2.9,21.5,0.459,7.3
75.5,98.0,0,0.0,0,54.5,0,97.0,97.0,0.1,3.8,3.7,0.794,15.3
75.4,1.0,0,294.9056584,0,53.7,0,95.0,94.0,0.1,3.8,3.7,0.7929999999999999,15.3
75.2,11.0,0,263.0372838,0,53.0,0,91.0,91.0,0.1,3.8,3.8,0.792,15.3
75.1,12.0,0,260.0043858,0,52.2,0,88.0,87.0,0.1,3.8,3.8,0.785,15.3
74.9,14.0,0,173.9825629,0,51.4,0,91.0,91.0,0.1,3.8,3.8,0.78,15.5
74.7,16.0,0,154.9630863,0,5.7,0,9.0,86.0,0.1,3.8,3.8,0.7809999999999999,15.8
74.6,19.0,0,327.1618128,0,49.9,0,93.0,93.0,0.1,3.8,3.8,0.779,15.5
74.4,111.0,0,25.52277112,0,49.2,0,85.0,85.0,0.1,3.9,3.9,0.775,15.3
74.2,113.0,0,1641.30981,0,48.4,0,93.0,93.0,0.1,3.9,3.9,0.7709999999999999,15.0
74.1,115.0,0,181.5000856,0,47.7,0,85.0,84.0,0.1,4.0,3.9,0.7659999999999999,14.8
73.9,117.0,0,1311.440423,0,46.9,0,91.0,92.0,0.1,4.0,4.0,0.7609999999999999,14.6
73.8,119.0,0,166.00834430000003,0,46.2,0,93.0,93.0,0.2,4.1,4.0,0.757,14.4
73.7,121.0,0,13.513991699999998,0,45.4,0,9.0,89.0,0.4,4.1,4.1,0.753,14.2
73.5,123.0,0,133.099491,0,44.6,0,86.0,87.0,0.8,4.2,4.1,0.7490000000000001,14.0
73.4,125.0,0,138.16646269999998,0,43.8,0,93.0,84.0,0.7,4.2,4.2,0.75,14.0
73.3,127.0,0,1140.615754,0,43.0,0,86.0,93.0,0.9,4.3,4.2,0.741,14.0
72.3,196.0,0,0.0,2,62.3,0,99.0,99.0,0.1,1.9,2.0,0.7979999999999999,15.6
72.0,199.0,0,1147.1114,64,61.7,0,97.0,97.0,0.1,1.9,2.0,0.7959999999999999,15.7
71.7,23.0,0,1109.854619,16,61.1,1,98.0,98.0,0.1,2.0,2.0,0.7959999999999999,15.7
71.9,194.0,0,91.70962117,10,6.5,1,98.0,98.0,0.1,2.0,2.1,0.7929999999999999,15.6
72.0,232.0,0,846.9113071,50,59.9,1,98.0,98.0,0.1,2.0,2.1,0.787,15.5
73.0,222.0,0,8.49409518,1,59.3,1,99.0,98.0,0.1,2.0,2.2,0.78,15.5
70.0,226.0,0,434.7985025,0,58.7,1,98.0,96.0,0.1,2.1,2.2,0.7709999999999999,15.4
70.0,224.0,1,501.8056141,0,58.2,1,98.0,97.0,0.1,2.1,2.3,0.755,15.1
69.8,226.0,1,464.077513,1,57.7,1,9.0,95.0,0.1,2.2,2.3,0.7390000000000001,14.9
68.9,243.0,1,364.426052,149,57.2,1,97.0,99.0,0.1,2.2,2.4,0.723,14.6
68.1,252.0,1,45.65007798,1,56.7,1,98.0,99.0,0.1,2.3,2.5,0.713,14.4
68.2,247.0,1,42.33443901,2,56.2,1,99.0,99.0,0.1,2.4,2.5,0.703,14.1
67.7,253.0,1,23.83578594,21,55.8,1,53.0,5.0,0.1,2.5,2.6,0.695,13.9
67.2,262.0,1,145.4233629,14,55.3,1,99.0,99.0,0.1,2.5,2.7,0.687,13.6
67.7,254.0,1,14.06141699,45,54.9,1,99.0,99.0,0.1,2.6,2.7,0.6809999999999999,13.3
68.0,247.0,1,24.24947846,21,54.4,1,99.0,99.0,0.1,2.7,2.8,0.675,13.1
81.1,74.0,0,0.0,47,63.7,1,99.0,99.0,0.1,1.0,1.0,0.895,16.6
89.0,76.0,0,7163.348923000001,70,63.4,1,99.0,99.0,0.1,1.0,1.0,0.89,16.3
87.0,77.0,0,702.359357,39,63.0,1,99.0,99.0,0.1,1.0,0.9,0.889,16.3
83.0,78.0,0,664.4738974999998,109,62.6,1,99.0,99.0,0.1,0.9,0.9,0.8859999999999999,16.2
83.0,8.0,0,713.5297353999998,576,62.3,1,98.0,98.0,0.1,0.9,0.9,0.884,16.1
80.0,81.0,0,665.7356115,40,61.9,1,98.0,98.0,0.1,0.9,0.9,0.878,15.9
79.8,85.0,0,671.9376566000002,33,61.6,1,98.0,98.0,0.1,0.9,0.9,0.8759999999999999,15.8
79.5,87.0,0,7191.051506999999,98,61.3,1,99.0,99.0,0.1,0.8,0.8,0.8740000000000001,15.8
79.5,86.0,0,640.3560918,64,6.9,1,99.0,98.0,0.1,0.8,0.8,0.871,15.8
79.4,85.0,0,5579.199083,15,6.6,1,99.0,98.0,0.1,0.8,0.8,0.865,15.7
78.9,89.0,0,5068.214488000001,26,6.2,1,97.0,97.0,0.1,0.8,0.8,0.861,15.7
78.8,91.0,1,5160.508378,61,59.8,1,96.0,95.0,0.1,0.8,0.8,0.88,18.8
78.3,95.0,0,507.306164,44,59.4,1,96.0,95.0,0.1,0.8,0.8,0.878,18.6
78.0,99.0,1,320.3177664,0,59.0,1,96.0,95.0,0.1,0.8,0.8,0.875,18.8
78.0,1.0,1,2943.375396,83,58.5,1,96.0,95.0,0.1,0.8,0.8,0.873,18.2
77.6,11.0,1,287.20845289999994,0,58.1,1,96.0,95.0,0.1,0.8,0.8,0.8690000000000001,18.0
71.0,175.0,0,0.0,0,5.9,0,94.0,94.0,0.2,3.5,3.4,0.706,12.8
70.0,177.0,0,670.0920883,0,5.1,0,95.0,95.0,0.2,3.4,3.4,0.705,12.8
69.8,18.0,0,629.2018591,0,49.3,0,95.0,95.0,0.2,3.4,3.4,0.706,12.9
